carga_vus,arquitetura,metrica,coluna,metodo_ic,n,media,ic95
100,A1,Latência P95 (ms),lat_p95_ms,bootstrap,30,52.851,0.2857
100,A1,Latência P90 (ms),lat_p90_ms,t-student,30,51.6527,0.1625
100,A1,Latência média (ms),lat_avg_ms,t-student,30,16.3269,0.087
100,A1,Latência mediana (ms),lat_med_ms,t-student,30,0.6451,0.0379
100,A1,Throughput (req/s),throughput_rps,t-student,30,85.8617,0.0088
100,A1,Taxa de erro (fração),taxa_erro,t-student,30,0.0,0.0
100,A1,CPU média (%),cpu_util_pct,t-student,30,32.2024,4.2089
100,A1,CPU pico (%),cpu_util_peak_pct,t-student,30,60.779,1.6733
100,A1,CPUCreditBalance,cpu_credit_balance,t-student,30,96.3004,5.9841
100,A2,Latência P95 (ms),lat_p95_ms,bootstrap,30,52.4423,0.0837
100,A2,Latência P90 (ms),lat_p90_ms,t-student,30,51.872,0.0268
100,A2,Latência média (ms),lat_avg_ms,t-student,30,16.7583,0.0769
100,A2,Latência mediana (ms),lat_med_ms,t-student,30,1.5113,0.0088
100,A2,Throughput (req/s),throughput_rps,t-student,30,85.8309,0.0077
100,A2,Taxa de erro (fração),taxa_erro,t-student,30,0.0,0.0
100,A2,CPU média (%),cpu_util_pct,t-student,30,20.4207,1.8999
100,A2,CPU pico (%),cpu_util_peak_pct,t-student,30,36.6269,0.4373
100,A2,CPUCreditBalance,cpu_credit_balance,t-student,30,13.413,11.3944
100,A2,"Latência de backend (ALB, ms)",alb_target_response_time_p95_ms,t-student,30,51.7998,0.0418
100,A2,Conexões ativas (ALB),alb_active_connections,t-student,30,577.6333,18.8021
100,A2,Hosts saudáveis (ALB),alb_healthy_host_count,t-student,30,2.0,0.0
500,A1,Latência P95 (ms),lat_p95_ms,bootstrap,30,58.4881,3.608
500,A1,Latência P90 (ms),lat_p90_ms,t-student,30,53.0443,0.1115
500,A1,Latência média (ms),lat_avg_ms,t-student,30,1885.3251,20.4536
500,A1,Latência mediana (ms),lat_med_ms,t-student,30,1.5532,0.0274
500,A1,Throughput (req/s),throughput_rps,t-student,30,138.2478,0.6735
500,A1,Taxa de erro (fração),taxa_erro,t-student,30,0.0225,0.0004
500,A1,CPU média (%),cpu_util_pct,t-student,30,39.1459,6.5372
500,A1,CPU pico (%),cpu_util_peak_pct,t-student,30,73.5667,3.6117
500,A1,CPUCreditBalance,cpu_credit_balance,t-student,30,101.3778,5.0648
500,A2,Latência P95 (ms),lat_p95_ms,bootstrap,30,72.1322,2.0453
500,A2,Latência P90 (ms),lat_p90_ms,t-student,30,57.7515,1.2555
500,A2,Latência média (ms),lat_avg_ms,t-student,30,21.73,0.6908
500,A2,Latência mediana (ms),lat_med_ms,t-student,30,1.4694,0.0281
500,A2,Throughput (req/s),throughput_rps,t-student,30,426.86,0.3243
500,A2,Taxa de erro (fração),taxa_erro,t-student,30,0.0,0.0
500,A2,CPU média (%),cpu_util_pct,t-student,30,57.5007,3.5765
500,A2,CPU pico (%),cpu_util_peak_pct,t-student,30,94.8457,0.3896
500,A2,CPUCreditBalance,cpu_credit_balance,t-student,30,19.1335,9.775
500,A2,"Latência de backend (ALB, ms)",alb_target_response_time_p95_ms,t-student,30,68.8258,2.3809
500,A2,Conexões ativas (ALB),alb_active_connections,t-student,30,2641.5674,83.3271
